method,dataset,direction,T,baseline_percent,method_percent,delta_percentage_points,paired_trial_deltas
curriculum,ATC,given_text,4,68.33388759561025,68.66644496175589,0.332557366145636,"[0.36581310276022627, 0.6318589956767595, -0.36581310276022627, 1.0641835716661108, -0.03325573661456804]"
curriculum,ATC,given_text,10,52.69704023944131,52.803458596607925,0.10641835716661552,"[-0.09976720984370413, -0.03325573661456804, -0.5653475224476234, 0.8646491519787136, 0.36581310276022627]"
curriculum,ATC,given_text,20,43.3787828400399,43.06617891586299,-0.3126039241769074,"[-0.29930162953109574, -0.23279015630195965, -1.296973727968076, 0.19953441968739716, 0.06651147322913054]"
curriculum_alpha2,description,given_molecule,4,91.38648180242635,91.43847487001733,0.05199306759098299,"[-0.17331022530329143, 0.34662045060658286, -0.17331022530329143, -0.25996533795493715, 0.5199306759098743]"
curriculum_alpha2,description,given_molecule,10,84.99133448873482,84.7833622183709,-0.20797227036393195,"[-0.8665511265164572, -0.17331022530329143, -1.2998266897746968, 0.0, 1.2998266897746968]"
curriculum_alpha2,description,given_molecule,20,79.5840554592721,79.37608318890814,-0.20797227036395416,"[-0.08665511265164572, 0.34662045060659397, -0.8665511265164683, -0.34662045060658286, -0.08665511265164572]"
curriculum_alpha2,description,given_text,4,90.51993067590989,90.48526863084922,-0.03466204506067383,"[0.8665511265164683, -0.08665511265164572, -0.5199306759098743, -0.7798960138648225, 0.34662045060658286]"
curriculum_alpha2,description,given_text,10,83.63951473136918,83.41421143847487,-0.22530329289429663,"[0.25996533795493715, 0.0, 0.0, -1.0398613518197597, -0.34662045060658286]"
curriculum_alpha2,description,given_text,20,78.35355285961872,78.11091854419409,-0.2426343154246169,"[-0.5199306759098743, 1.0398613518197597, 0.08665511265164572, -1.2998266897746968, -0.5199306759098743]"
curriculum_alpha2,pharmacodynamics,given_molecule,4,85.03482587064676,85.33333333333333,0.29850746268657025,"[-0.3980099502487566, 0.5970149253731294, 1.0945273631840835, 0.3980099502487566, -0.19900497512437276]"
curriculum_alpha2,pharmacodynamics,given_molecule,10,75.64179104477613,76.49751243781094,0.855721393034814,"[1.2935323383084563, 1.5920398009950265, 0.29850746268655914, 1.2935323383084563, -0.19900497512438386]"
curriculum_alpha2,pharmacodynamics,given_molecule,20,68.43781094527364,68.4776119402985,0.03980099502486345,"[1.8905472636815968, 1.2935323383084563, -0.6965174129353269, -0.5970149253731294, -1.691542288557213]"
curriculum_alpha2,pharmacodynamics,given_text,4,83.38308457711443,83.54228855721392,0.1592039800994982,"[0.7960199004975133, -0.5970149253731405, 0.29850746268655914, 0.09950248756218638, 0.19900497512438386]"
curriculum_alpha2,pharmacodynamics,given_text,10,73.3134328358209,73.69154228855722,0.37810945273631935,"[0.8955223880596996, -0.5970149253731405, -0.29850746268655914, -0.29850746268655914, 2.189054726368156]"
curriculum_alpha2,pharmacodynamics,given_text,20,65.93034825870647,65.87064676616914,-0.05970149253732293,"[0.5970149253731294, -1.2935323383084563, -1.0945273631840835, -0.29850746268655914, 1.7910447761193993]"
curriculum_alpha2,ATC,given_molecule,4,71.66611240438976,72.00532091785833,0.3392085134685585,"[0.36581310276022627, 0.9311606252078497, -0.6983704689058845, 0.33255736614565823, 0.7648819421350206]"
curriculum_alpha2,ATC,given_molecule,10,56.521449950116384,57.273029597605586,0.7515796474891978,"[0.7316262055204525, 1.8955769870302674, -0.13302294645826107, 0.9311606252078386, 0.33255736614565823]"
curriculum_alpha2,ATC,given_molecule,20,47.07016960425673,47.88160957765214,0.8114399733954059,"[1.0974393082806788, 0.7981376787495831, 0.5320917858330554, 0.9311606252078497, 0.69837046890589]"
curriculum_alpha2,ATC,given_text,4,68.33388759561025,69.35151313601597,1.0176255404057089,"[1.7625540405719953, 0.6651147322913276, 0.6983704689058956, 1.0641835716661108, 0.8979048885932817]"
curriculum_alpha2,ATC,given_text,10,52.69704023944131,54.14699035583638,1.4499501163950712,"[0.7648819421350206, 1.363485201197201, 1.429996674426337, 2.0285999334885174, 1.6627868307283022]"
curriculum_alpha2,ATC,given_text,20,43.3787828400399,44.40971067509145,1.0309278350515538,"[-0.06651147322913054, 1.1639507815098094, 0.8979048885932817, 2.095111406717659, 1.0641835716661108]"
stratified,description,given_molecule,4,91.38648180242635,91.68110918544194,0.2946273830155999,"[0.25996533795493715, 0.6932409012131657, 0.25996533795493715, 0.34662045060658286, -0.08665511265164572]"
stratified,description,given_molecule,10,84.99133448873482,84.69670710571924,-0.2946273830155888,"[-0.17331022530329143, -0.34662045060658286, -1.1265164644714054, 0.0, 0.17331022530329143]"
stratified,description,given_molecule,20,79.5840554592721,79.15077989601386,-0.4332755632582397,"[0.17331022530329143, 0.0, -1.3864818024263426, -0.6932409012131657, -0.25996533795493715]"
stratified,description,given_text,4,90.51993067590989,90.17331022530328,-0.34662045060660507,"[0.34662045060659397, -0.60658578856152, -1.0398613518197597, 0.0, -0.4332755632582286]"
stratified,description,given_text,10,83.63951473136918,82.84228769497402,-0.7972270363951539,"[0.6065857885615311, -1.0398613518197597, -0.6932409012131768, -0.8665511265164572, -1.9930675909878737]"
stratified,description,given_text,20,78.35355285961872,77.97227036395147,-0.3812824956672456,"[0.5199306759098854, 0.60658578856152, -0.5199306759098854, -1.2998266897746968, -1.21317157712304]"
stratified,pharmacodynamics,given_molecule,4,85.03482587064676,84.91542288557214,-0.11940298507461256,"[-1.5920398009950265, -0.497512437810943, 0.8955223880596996, 0.6965174129353269, -0.09950248756218638]"
stratified,pharmacodynamics,given_molecule,10,75.64179104477613,76.1592039800995,0.5174129353233692,"[1.492537313432829, 0.0, -0.19900497512438386, 1.691542288557213, -0.3980099502487566]"
stratified,pharmacodynamics,given_molecule,20,68.43781094527364,68.05970149253731,-0.37810945273631935,"[0.8955223880596996, -0.9950248756218971, -1.1940298507462699, -0.5970149253731294, 0.0]"
stratified,pharmacodynamics,given_text,4,83.38308457711443,82.96517412935323,-0.417910447761205,"[-0.3980099502487566, 0.19900497512437276, -1.1940298507462699, 0.09950248756218638, -0.7960199004975133]"
stratified,pharmacodynamics,given_text,10,73.3134328358209,73.13432835820896,-0.1791044776119466,"[0.09950248756218638, -0.7960199004975133, 0.09950248756218638, 0.3980099502487566, -0.6965174129353269]"
stratified,pharmacodynamics,given_text,20,65.93034825870647,66.10945273631842,0.1791044776119466,"[0.497512437810943, -0.09950248756218638, 0.09950248756218638, 0.9950248756218971, -0.5970149253731405]"
stratified,ATC,given_molecule,4,71.66611240438976,70.65513801130695,-1.0109743930828197,"[-0.3990688393747943, -0.8313934153641456, -1.0309278350515427, -0.9976720984369858, -1.7958097771865633]"
stratified,ATC,given_molecule,10,56.521449950116384,55.62354506152312,-0.8979048885932706,"[-1.0974393082806788, -0.7648819421350095, -0.6983704689058845, -0.4655803126039304, -1.463252411040905]"
stratified,ATC,given_molecule,20,47.07016960425673,46.16561356834055,-0.9045560359161875,"[-1.5297638842700356, -1.1972065181243774, -0.23279015630195965, -0.631858995676754, -0.9311606252078442]"
stratified,ATC,given_text,4,68.33388759561025,68.14100432324575,-0.19288327236450797,"[0.09976720984369303, -0.6318589956767484, -1.1639507815098038, 0.6318589956767484, 0.09976720984369303]"
stratified,ATC,given_text,10,52.69704023944131,52.69704023944131,0.0,"[-0.16627868307282911, -0.06651147322913609, -0.49883604921849845, 0.49883604921848734, 0.2327901563019652]"
stratified,ATC,given_text,20,43.3787828400399,42.85999334885268,-0.518789491187216,"[-0.8313934153641511, -0.6983704689058845, -1.1639507815098094, 0.19953441968739716, -0.09976720984369858]"
stratified_alpha2,description,given_molecule,4,91.38648180242635,91.33448873483536,-0.05199306759098299,"[-0.6932409012131768, 0.4332755632582286, 0.0, -0.25996533795493715, 0.25996533795493715]"
stratified_alpha2,description,given_molecule,10,84.99133448873482,84.45407279029465,-0.5372616984401835,"[-0.4332755632582286, -0.34662045060658286, -1.2131715771230511, -0.5199306759098743, -0.17331022530330253]"
stratified_alpha2,description,given_molecule,20,79.5840554592721,79.35875216637783,-0.22530329289427442,"[0.4332755632582286, 0.25996533795494825, -0.8665511265164683, -0.6932409012131657, -0.25996533795493715]"
stratified_alpha2,description,given_text,4,90.51993067590989,89.93067590987869,-0.5892547660311998,"[-1.0398613518197486, -0.25996533795493715, -1.2998266897746968, 0.25996533795493715, -0.60658578856152]"
stratified_alpha2,description,given_text,10,83.63951473136918,82.790294627383,-0.8492201039861591,"[-0.4332755632582286, -0.08665511265164572, -0.17331022530330253, -1.2131715771230511, -2.3396880415944565]"
stratified_alpha2,description,given_text,20,78.35355285961872,77.05372616984401,-1.2998266897746968,"[-0.8665511265164572, 0.0, -1.1265164644714054, -2.3396880415944454, -2.166377816291154]"
stratified_alpha2,pharmacodynamics,given_molecule,4,85.03482587064676,85.15422885572139,0.11940298507463476,"[-0.7960199004975133, 0.6965174129353158, 0.6965174129353269, -0.3980099502487566, 0.3980099502487566]"
stratified_alpha2,pharmacodynamics,given_molecule,10,75.64179104477613,75.88059701492537,0.23880597014924732,"[1.3930348258706426, -0.09950248756218638, -0.3980099502487566, 0.0, 0.29850746268657025]"
stratified_alpha2,pharmacodynamics,given_molecule,20,68.43781094527364,67.9402985074627,-0.497512437810943,"[1.0945273631840835, -0.29850746268657025, -1.3930348258706537, -1.691542288557213, -0.19900497512437276]"
stratified_alpha2,pharmacodynamics,given_text,4,83.38308457711443,82.70646766169153,-0.6766169154228896,"[-0.5970149253731294, -0.09950248756218638, -1.691542288557213, -0.5970149253731294, -0.3980099502487566]"
stratified_alpha2,pharmacodynamics,given_text,10,73.3134328358209,72.4776119402985,-0.8358208955223989,"[-0.3980099502487566, -1.3930348258706426, -1.5920398009950265, -0.7960199004975133, 0.0]"
stratified_alpha2,pharmacodynamics,given_text,20,65.93034825870647,65.07462686567165,-0.8557213930348251,"[-0.7960199004975133, -0.8955223880596996, -2.3880597014925398, -0.29850746268655914, 0.09950248756218638]"
stratified_alpha2,ATC,given_molecule,4,71.66611240438976,70.88127702028599,-0.784835384103777,"[0.6318589956767484, -0.6983704689058845, -1.5630196208845981, -0.6983704689058956, -1.5962753574991662]"
stratified_alpha2,ATC,given_molecule,10,56.521449950116384,55.90289324908546,-0.6185567010309256,"[-1.163950781509815, -0.4655803126039193, -0.7648819421350206, 0.49883604921848734, -1.1972065181243718]"
stratified_alpha2,ATC,given_molecule,20,47.07016960425673,46.45826405054872,-0.6119055537080142,"[-1.8623212504156939, -0.631858995676754, -0.06651147322913054, 0.16627868307283467, -0.6651147322913165]"
stratified_alpha2,ATC,given_text,4,68.33388759561025,67.72198204190222,-0.6119055537080254,"[-0.13302294645827217, -1.1306950448952358, -1.6295310941137342, 0.13302294645826107, -0.2993016295310902]"
stratified_alpha2,ATC,given_text,10,52.69704023944131,52.16494845360824,-0.5320917858330665,"[-0.4655803126039304, -1.363485201197212, -0.9644163618224177, 0.2993016295310902, -0.16627868307282911]"
stratified_alpha2,ATC,given_text,20,43.3787828400399,42.37445959428001,-1.004323245759886,"[-1.1639507815098094, -2.095111406717659, -0.7981376787495886, -0.16627868307282911, -0.7981376787495831]"
